==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Outlooks updates on LOM,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2026-02-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,377.11,404.4,609.56,641.4,569.8,520,606.9,950.5,1300,1521,1779.57,2082.0969,2436.0533729999997,,,,,,,,,,,,,,
,(+) Cash and cash equivalents,17,23.4,149.5,334.4,433.2,595.3,634.8,497.7,582.309,681.30153,797.1227901,932.633664417,1091.18138736789,,,,,,
,(+) Deuda financiera total ,29,10,,,,,,,0,0,0,0,0,,,,,,
,(+) Deuda leases,16.2,14.46,12.95,10.78,10,9.44,8.93,8.71,10.190700000000001,11.923119000000002,13.950049230000001,16.3215575991,19.096222390947002,,,,,,
,(+) Goodwill ,21.98,22.51,,,,,,,800,800,800,800,800,,,,,,
,(+) Equity,638.2,593,805,1004,993,1120,1286,2572,3009.24,3520.8107999999997,4119.348636,4819.63790412,5638.9763478203995,,,,,,
,(+) Current Assets,84,105,319,513.8,611,817,1001,695,813.15,951.3855,1113.121035,1302.35161095,1523.7513848115,,,,,,
,(+) Non-current Assets,775.59,679.7,655.9,654.6000000000001,546.3,473.20000000000005,420.21000000000004,1547,1809.99,2117.6883,2477.695311,2898.90351387,3391.7171112279,,,,,,
,(+) Available Assets,17,23.4,149.5,334.4,433.2,595.3,634.8,497.7,582.309,681.30153,797.1227901,932.633664417,1091.18138736789,,,,,,
,(+) Realizable assets,67.10000000000001,81.53,169.52,179.32,177.64,221.51999999999998,366.1,283.6,331.812,388.22004000000004,454.21744680000006,531.434412756,621.77826292452,,,,,,
,(+) Clients,22.8,32.33,76.42,118.72,116.84,94.61999999999999,321.40000000000003,210,245.7,287.469,336.33873,393.5163141,460.41408749699997,,,,,,
,(+) Current Liabilities,93.5,109.6,85.1,85.8,96.89,121.87,83.4,251,293.67,343.5939,402.004863,470.34568971,550.3044569607,,,,,,
,(+) Non-current Liabilities,127.9,82.20000000000002,84.5,78.2,67.30999999999999,47.829999999999984,51,263,307.71,360.0207,421.22421899999995,492.83233622999995,576.6138333890999,,,,,,
,(+) Accounts payable,13.8,15.84,13.11,17.64,22.03,12.34,8.3,107,125.19,146.4723,171.372591,200.50593147,234.5919398199,,,,,,
,(+) Inventory,34.1,38,43.1,49.6,45.8,38.4,33,70,81.9,95.82300000000001,112.11291000000001,131.1721047,153.471362499,,,,,,
,Capital empleado con goodwill,666.4000000000001,594.0600000000001,668.45,680.38,569.8,534.1400000000001,660.13,2083.01,2437.1216999999997,2851.4323889999996,3336.1758951299994,3903.3257973020995,4566.891182843457,,,,,,
,Capital empleado sin goodwill,644.4200000000001,571.5500000000001,668.45,680.38,569.8,534.1400000000001,660.13,2083.01,1637.1216999999997,2051.4323889999996,2536.1758951299994,3103.3257973020995,3766.891182843456,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ROE ( net income / equity ),0.046392980256972735,0.06936087689713323,0.24468819875776399,0.1995786852589642,0.1338610271903323,0.17455357142857142,0.18509331259720063,0.17724844479004667,0.20777554066807566,0.19050205208413926,0.2113031613787399,0.2198306099169105,0.21014468012557327,,,,,,
,ROA (Net income/ Activo),0.04723181982107749,0.07569771887345482,0.22476151400143604,0.20596542280041083,0.13096863388922492,0.15346457913501782,0.16727295755025648,0.21690454950936663,0.2708613913096518,0.24883198637973453,0.27587781820240165,0.28693371724209393,0.2742550198706805,,,,,,
,ROCE sin goodwill (EBIT / Capital empleado),0.06300238974581794,0.10392791531799492,0.327803126636248,0.35369940327464067,0.266005616005616,0.370689332384768,0.3601260357808311,0.23346023302816596,0.43399788177018245,0.372268534949021,0.39059853104124803,0.3884483385840426,0.3578791753249894,,,,,,
,ROCE con goodwill( EBIT / Capital empleado),0.06092436974789915,0.09998990001009998,0.327803126636248,0.35369940327464067,0.266005616005616,0.370689332384768,0.3601260357808311,0.23346023302816596,0.2915354411722648,0.26782459683984466,0.2969347571110002,0.3088345202647969,0.29518809537643403,,,,,,
,Liquidity,,,,,,,,,,,,,,,Ratio,Valor Óptimo (Líderes 2023 – Minería),Empresas Quebradas (Ejemplos Minería),Semáforo,Empresas Líderes Minería 2023
,Liquidez (AC/PC),0.8983957219251337,0.958029197080292,3.748531139835488,5.988344988344988,6.306120342656621,6.7038647739394435,12.002398081534771,2.768924302788845,,,,,,,Liquidez (AC/PC),1.5 – 2.5×,< 1.0×,🟢,"BHP Group, Rio Tinto, Newmont Corp"
,Tesoreria (AD+AR)/ PC,0.8994652406417113,0.9573905109489053,3.7487661574618096,5.987412587412588,6.304468985447413,6.702387790268318,12.001199040767386,3.1127490039840637,,,,,,,Tesorería ((AD+AR)/PC),1.0 – 1.8×,< 0.5×,🟢,"Barrick Gold, BHP Group, Newmont Corp"
,Disponibilidad (AD/PC),0.18181818181818182,0.21350364963503649,1.7567567567567568,3.8974358974358974,4.471049643926102,4.884713219003856,7.611510791366905,1.9828685258964143,,,,,,,Disponibilidad (AD/PC),0.5 – 1.0×,< 0.3×,🟢,"Newmont Corp, Rio Tinto"
,Test acido (AC-Inventarios)/PC,0.5336898395721925,0.6113138686131387,3.2420681551116335,5.41025641025641,5.833419341521314,6.38877492409945,11.606714628297361,2.49003984063745,,,,,,,Test ácido ((AC–Inventarios)/PC),1.5 – 2.5×,< 0.6×,🟢,"BHP Group, Rio Tinto, Anglo American"
,Endeudamiento,,,,,,,,,,,,,,,,,,,
,Endeudamiento (DT / Activo),0.052583208273711886,0.031171148209506817,0.013283413683454712,0.009226292365628209,0.008640801866413203,0.007316695086033173,0.006283378248112524,0.00388492417484389,,,,,,,Endeudamiento (DT/Activo),< 0.3–0.4,> 0.7,🟢,"BHP Group, Freeport-McMoRan, Rio Tinto"
,Calidad de deuda (PC/DT),2.0685840707964602,4.480784955028618,6.571428571428571,7.959183673469388,9.689,12.909957627118645,9.339305711086228,28.817451205510903,,,,,,,Calidad de deuda (PC/DT),> 2.0×,< 0.3×,🟢,"Newmont Corp, Barrick Gold"
,Capacidad de devolucion (BN+D&A/DT),0.6593524110606249,1.6911557313658572,15.217072676093386,18.60282193099055,13.307041288433378,20.721242280909212,26.668657243323885,52.35208394941111,,,,,,,Capacidad de devolución ((BN + D&A)/DT),> 0.4×,< 0.2×,🟢,"BHP Group, Barrick Gold, Freeport-McMoRan"
