,Plazo de cobro (SC/VD),49.14027469340991,263.05135811085904,148.55777628912313,127.51477158709876,176.95879230849062,172.6583728974292,80.85482182905557,0,,,,,,,"< 60 días
(Adobe: 45 días, Microsoft: 50 días)","> 90 días
(Kodak: 120 días en 2011)"
,Plazo de pago (SP/VD),7.037002984567946,5.651311580294306,12.637222396526724,15.619291821386,13.119783250063008,17.05615771332697,14.18524794418141,0,,,,,,,"> 60 días
(Oracle: 75 días, Salesforce: 65 días)","< 30 días
(Zynga: 20 días en 2012)"
,Financiacion de clientes con proveedores  (SP/SC),0.1432023534355957,0.11742390824878694,0.2908326803903412,0.37056289915342344,0.2998948605355928,0.45233611863010476,0.4508296236341562,#DIV/0!,,,,,,,1.0 - 2.0,< 0.5
,Crecimiento sostenible (SGR),,,,,,,,,,,,,,,,
,Modelo de Higgins,0.18292200209788825,0.22718840127835369,0.31526517669103693,0.1845473419614519,0.25526219575890524,0.34144231453648494,0.3213875691774963,#DIV/0!,"SGR teórico basado en M, R, E y D.",,,,,,,
,Margen Neto (M) (BN/Ventas),0.2614679547929898,0.3390449601582039,0.3338449405998525,0.19895548371051977,0.28982520644616094,0.3790858414234564,0.310841764266135,0.3492929080097221,contribuye positivamente al SGR,,,,,,,
,Dividendos (D) (Dividendos/BN),0,0,0,0,0,0,0,0,"reducen el SGR, si son altos la empresa retiene menos para crecer",,,,,,,
,Apalancamiento (E) (Activo/Capital Propio),1.3198487937142518,1.2418427001325123,1.3271006334131439,1.477388973296318,1.499157787527421,1.5114900047635473,1.5656735337462513,0,más apalancamiento aumenta SGR (pero también riesgo).,,,,,,,
,Rotacion de activos (R) (Ventas/Activos),0.5300578814779271,0.539587988651485,0.7115859214249941,0.6278516316959839,0.5874934131162819,0.5959015265129286,0.6603717697239373,#DIV/0!,eficiencia operativa; más ventas por activo → mayor SGR,,,,,,,
,Desviacion (SGR-Ventas),#VALUE!,-0.01122449899112793,0.05656056634391915,-0.19574051751623486,-0.09838751198664067,-0.1220311864583245,-0.10163814516183681,#DIV/0!,Diferencia entre el crecimiento sostenible y el crecimiento real de ventas:,,,,,,,
,,,,,,,,,,Positivo → la empresa crece menos de lo que podría sin financiamiento externo (capacidad de expansión).,,,,,,,
,,,,,,,,,,Negativo → la empresa crece más rápido de lo que sus recursos internos permiten (puede necesitar deuda/capital externo),,,,,,,
,,,,,,,,,,,,,,,,,
,,Escenario,Ventas 2025,Crec. real,SGR,Interpretación,,,,,,,,,,,
,,DPM Metals,267022.7856028737,0.33078886420570003,#DIV/0!,Crece dentro de lo sostenible → no necesita financiamiento externo,,,,,,,,,,,
