==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,
,Deuda neta /EBITDA,-1.7279151943462894,-0.11867704280155646,1.1896551724137931,1.788674033149171,1.2154696132596685,2.0135135135135136,0.8412499999999999,0.6987039676954324,0.30042097206276314,0.2652205882352941,1.8518518518518519,2.2255192878338277,2.8208744710860367,,,,
,Deuda neta/equity,-0.5315217391304347,-0.04295774647887325,0.5307692307692308,1.0409967845659163,0.5569620253164557,1.0836363636363635,0.2511818860413038,0.33176912426474797,0.1486324864542474,0.1388113972969992,1.2014483256821695,1.7582170619739066,2.287111625331911,,,,
,Enterprise Value ( EV ),,,,,,,,,797.8026500000001,789.3711367500001,1673.26912481625,2169.902779192169,2666.553265296208,,1.Recompra,33.34,
,EBITDA,28.3,51.4,58,72.4,72.4,177.6,240,367,391.95,425,540,674,709,,2.Dividendos,0,
,EBIT,14.56,49.37,20.47,20.12,31.28,194.53,116.5,47,63.94999999999999,88.80000000000001,195.39500000000004,320.77987500000006,346.94937187500005,3.M&A,,99.15000000000003,
,Net income,10.96,38.35999999999999,8.62,6.246000000000002,14.290000000000001,154.83,60.88999999999999,-31.800000000000004,-6.567300000000014,10.24193,86.69172825000001,176.82402145625002,194.49412199265626,,,132.49000000000004,
,FCF,17.200000000000003,19.39,19.450000000000006,30.52600000000001,23.110000000000003,95.1,-49.61,153.20000000000002,184.77020000000002,208.08783624999995,291.221437859375,388.21753848378904,414.68013205377713,,,52.28019999999998,
,,,,,,,,,,,,,,,,,,
,,3 YEARS,5 YEARS,,,,,,,,,,,,,,PreRerating,PostRerating
,CAGR  by PER,0.3297293207354832,0.39737985707717316,,,PER+caja,,,-14.162634146341466,-2.939548915308255,4.607364357022273,39.19451864732123,80.34629534880317,88.81943237101689,Multiple PER,,18.26,
,CAGR  by  P/FCF,0.4466969338354785,0.3421321556249466,,,P/FCF +caja,,,26.156097560975613,31.704654982228217,35.88514588508173,50.47406502278725,67.62340144386569,72.59588562341193,Multiple P/FCF,,7,
,CAGR by EV/EBITDA,0.4197634107537289,0.2255406641552664,,,EV/EBITDA,,,42.26135716721406,49.18786616006862,53.97206032614352,47.707157236366946,53.57769024825025,46.08655331745888,Multiple EV/EBITDA,,5.42,
,CAGR  by EV/EBIT,0.19514492234574687,0.22201739259033726,,,EV/EBIT,,,6.355503508677471,14.357151611717118,21.287495203681114,28.457537177616867,50.479572154528135,45.427886858018255,Multiple EV/EBIT,,11,
,,,,,,Free cashflow yield,,,0.22415029189284094,0.14285714285714285,0.1616939031517019,0.22742971723183447,0.30470244593317125,0.3271078271994397,,,,
,,,,,,FCF/EBITDA,,,0.4174386920980927,,,,,,,,,
,,,,,,LTM P/E,,,56.29203780574939,,,,,,,,,
,,,,,,NTM P/E,,,-36.118039269140226,,,,,,,,,


