==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.02358490566037736,,897.9012326450694
,Market cap,,,,,,,,88754.48999999999,86392.00475912914,84092.40463554455,81854.0157402806,79675.20874029194,77554.39767245475,,,
,Net DEBT  (-) si es caja neta ,1487.8999999999996,-361,279,-107,-3507,-1985,-603,-301.70772183337067,-331.878494016707,-365.066343418378,-401.5729777602155,-441.73027553623706,-485.90330308986086, Dividend yield ,,0
,Deuda neta /EBITDA,0.28624030411228757,-0.05750238929595412,0.03467130607679881,-0.01215770935121009,-0.3582226762002043,-0.18251195292386907,-0.05082940324874623,-0.023626183949776475,-0.029076633270959548,-0.029076633270959575,-0.02907663327095955,-0.029076633270959554,-0.02907663327095955,,,
,Deuda neta/equity,0.14130104463437793,-0.027216525934861277,0.018855173345948502,-0.007615116361824781,-0.21231383944787505,-0.14073023750443106,-0.04604810996563574,-0.026194454057420616,-0.02619445405742056,-0.02619445405742058,-0.026194454057420564,-0.026194454057420564,-0.026194454057420567,,,
,Enterprise Value ( EV ),,,,,,,-603,88452.78227816662,86060.12626511243,83727.33829212617,81452.4427625204,79233.47846475571,77068.4943693649,,1. Recompra acciones,2362.4852408708584
,EBITDA,5198.08,6278,8047,8801,9790,10876,11863.212264150943,12770.057258282928,11413.92440190703,12555.31684209773,13810.848526307505,15191.933378938254,16711.126716832085,2. Dividends,,0
,EBIT,4461.41,5521,7259,7945,8918,10019,10986,11960,10522.861417795808,11575.147559575387,12732.662315532927,14005.92854708622,15406.521401794844,,,2362.4852408708584
,Net income,4051.21,6489,6263,6581,7434,8479,9137,9645.016918200708,8022.871503665247,8825.15865403177,9707.674519434946,10678.441971378441,11746.286168516288,,,6377.017332011993
,FCF,4393.4800000000005,6827,6703,6995,7946,9153,9885.712264150943,10296.49970839853,8739.502572882851,9613.452830171134,10574.798113188248,11632.277924507074,12795.505716957785,,,
,Dividendos,,,,,,,,,,,,,,,,
,,3 YEARS,5 YEARS,,,,,,,,,,,,,,
,CAGR  by PER,0.5273256081761297,0.3539504360066952,,,PER+caja,,,711.6762045893234,608.3757467355761,687.5137023209005,776.9459802026508,878.0116732441555,992.2240644734742,Multiple PER,,30
,CAGR  by  P/FCF,0.5714512507582628,0.37728663803346896,,,P/FCF +caja,,,759.6970490756494,662.6431772807975,748.8402793414073,846.2499625594002,956.3307675725172,1080.7309630358113,Multiple P/FCF,,30
,CAGR by EV/EBITDA,0.6785323695420749,0.4328529389737956,,,EV/EBITDA,,,879.2710342844111,807.5439246811354,912.5898203920158,1031.3001619224328,1165.4524302324128,1317.055322286275,Multiple EV/EBITDA,,28
,CAGR  by EV/EBIT,0.5732180711097559,0.37821553906972616,,,EV/EBIT,,,735.3850312575759,664.8807680503413,751.3689375308611,849.1075504285153,959.5600725310801,1084.3803383107102,Multiple EV/EBIT,,25
,,,,,,Free cashflow yield,,,0.11941038059293566,0.034555410119641694,0.0345554101196417,0.034555410119641694,0.034555410119641694,0.03455541011964171,,,
,,,,,,LTM P/E,,,9.681472153741334,,,,,,,,
,,,,,,NTM P/E,,,9.940886887412812,,,,,,,,


